miliseconds,mMuscle,mPlasmaVenous,reference
0,0.0,10645.710746361103,500
100,3786.108431596993,174.4483874717957,500
200,4393.236166292149,123.09742031406134,500
300,4439.777074823359,97.93954154512386,500
400,4265.5870548841,83.83880810947979,500
500,4012.4960313189695,74.6926753917518,500
600,3739.609255171742,67.87997660449915,500
700,3470.8548942382918,62.2845808847523,500
800,3215.48894806293,57.404645164190526,500
900,2976.476038864795,53.02303889616288,500
1000,2754.3228209831636,49.022531220070974,500
1100,2548.436277235007,45.34838477542994,500
1200,2357.91201490198,41.958214080863065,500
1300,2181.6711022132804,38.830931846363406,500
1400,2018.7195371599375,35.93812853816606,500
1500,1868.0395309686146,33.26564956241604,500
1600,1728.728645489301,30.79299725421297,500
1700,1599.9062315831623,28.508020351254668,500
1800,1480.7985319253542,26.392994678287685,500
1900,1370.6453418605552,24.438599921663965,500
2000,1268.794815107641,22.62826163804857,500
2100,1174.5871717692478,20.955726167679437,500
2200,1087.4639278528841,19.40719019302551,500
2300,1006.8709565066515,17.975918395859935,500
2400,932.331569519879,16.650151374711943,500
2500,863.3701293631118,15.424581862838087,500
2600,799.5814825189357,14.288920796093846,500
2700,740.5569718340868,13.239076917057892,500
2800,685.9480954487459,12.26670468092603,500
2900,635.4138288513028,11.367098591118886,500
3000,588.6506971072114,10.534091007975913,500
3100,545.3694959862887,9.76337720714335,500
3200,505.3152348021573,9.049061365886752,500
3300,468.23647790117934,8.388193765492899,500
3400,433.91565659375243,7.7757299791227386,500
3500,402.14066367316025,7.208756046946452,500
3600,372.7212715640864,6.683674548292645,500
3700,345.48049690746046,6.197353140055259,500
3800,320.25616121524575,5.746683680253918,500
3900,296.8954012223211,5.329266548211057,500
4000,275.25988097926245,4.942423388651352,500
4100,255.21937520707638,4.584053926080513,500
4200,236.6551134361266,4.251967362438458,500
4300,219.4575755055017,3.94409846660201,500
4400,203.52312084088496,3.6589174253194177,500
4500,188.75939056184237,3.3944672583907383,500
4600,175.0781579352321,3.149386675491495,500
4700,162.39986110339066,2.922100903217848,500
4800,150.64897739534604,2.711462293443499,500
4900,139.75784265358817,2.5160675638788326,500
5000,129.66154979280032,2.3349863572043783,500
5100,120.30244695159504,2.166983554346315,500
5200,111.62527681602742,2.011221008377891,500
5300,103.58046845555313,1.8666800914462582,500
5400,96.1203251490952,1.732707739855069,500
5500,89.20304754822762,1.6083325209954176,500
5600,82.78743783058417,1.4930524370898575,500
5700,76.83789965154489,1.3860045577045357,500
5800,71.31890857448971,1.2867965057408903,500
5900,66.20017257608025,1.1946571194302118,500
6000,61.451426160133856,1.109222799092783,500
6100,57.04649303915232,1.0298664762801362,500
6200,52.95921635864794,0.9563099790016915,500
6300,49.167493593105824,0.8879619560782607,500
6400,45.64874177699495,0.82460772175154,500
6500,42.38395486354306,0.765747538899609,500
6600,39.35400905115012,0.711157733787913,500
6700,36.54245179584616,0.6604320866825557,500
6800,33.93275687179197,0.6133964086193955,500
6900,31.510922287172846,0.5696828563243334,500
7000,29.26280264850464,0.5291349398561891,500
7100,27.176215918032657,0.4914616091185805,500
7200,25.239046683765686,0.45652304624574175,500
7300,23.441000803335736,0.42404226380553833,500
7400,21.77157942857941,0.3939131468321357,500
7500,20.221905755145897,0.3659024354665298,500
7600,18.78291092843003,0.3399260008642621,500
7700,17.44698446721042,0.31578008841049543,500
7800,16.20646802733388,0.29337047082064605,500
7900,15.05465759893169,0.2725470692230847,500
8000,13.98502205595777,0.2532201047402831,500
8100,12.991816968776046,0.23525697992354896,500
8200,12.069411675973862,0.21858233372264277,500
8300,11.212831527184875,0.20308711899336732,500
8400,10.417267698864931,0.18870072287208658,500
8500,9.678412944703444,0.17533335954712112,500
8600,8.992130073033099,0.16292392536629263,500
8700,8.35477266869515,0.15138543182945383,500
8800,7.762735742567753,0.14067204393608085,500
8900,7.212829936058995,0.13071666358393566,500
9000,6.702000381872061,0.12147200242887868,500
9100,6.227489797280823,0.11288191300564933,500
9200,5.786696743880838,0.10490095798399811,500
9300,5.377217382016041,0.09748527668105259,500
9400,4.996796617269094,0.0905979121136701,500
9500,4.64339174799002,0.08419658959995883,500
9600,4.315064119647492,0.07824874942125505,500
9700,4.010020736795065,0.07272310582106362,500
9800,3.7266102672960697,0.06758852806895772,500
9900,3.4632887104852,0.06281782772138289,500
10000,3.218627220295944,0.05838502338893859,500
10100,2.9913073009310627,0.05426470399818664,500
10200,2.7800885690623263,0.050435814843342724,500
10300,2.583819407748768,0.04687878087042121,500
10400,2.4014463504148504,0.04357291694477904,500
10500,2.231978669905115,0.04050097508437691,500
10600,2.074509637701422,0.037644839269741985,500
10700,1.9281671513347414,0.03499241585986001,500
10800,1.792181092456489,0.032526199906669676,500
10900,1.665804575837789,0.030234917045351306,500
11000,1.5483694063851718,0.028104079104321045,500
11100,1.4392224136685123,0.026125355825923915,500
11200,1.3377956852832533,0.0242849012696497,500
11300,1.243525265433777,0.022575594978993592,500
11400,1.1559184793521617,0.020985911288328978,500
11500,1.074493423432467,0.01950896377760493,500
11600,0.9988198259600714,0.018135616148726906,500
11700,0.9284827512088104,0.01685977986768566,500
11800,0.863113877543375,0.015673097214283668,500
11900,0.8023517150788915,0.014570846250207756,500
12000,0.7458818090624721,0.013545271807869463,500
12100,0.6933861716949925,0.01259323954011607,500
12200,0.6445999891490584,0.011707013543720881,500
12300,0.5992451715255853,0.010884455294401258,500
12400,0.5570928394726185,0.010118930779636852,500
12500,0.5179069870799139,0.009407953447367123,500
12600,0.4814869248225355,0.008746283169190468,500
12700,0.4476272087200092,0.00813203874123946,500
12800,0.4161573308952161,0.007560260057515894,500
12900,0.38689972916682713,0.00702935050078345,500
13000,0.35970702824573464,0.006535050487173849,500
13100,0.33442325120493904,0.006076399172397918,500
13200,0.3109237458504295,0.005649307005890016,500
13300,0.2890747823806956,0.005252792077319444,500
13400,0.2687661928716492,0.00488371951137873,500
13500,0.24988419855332702,0.004540971389203426,500
13600,0.27173526701865175,0.013648069568466922,500
13700,0.45382532478665477,0.032638066480476416,500
13800,0.8350013316374656,0.057611859883347875,500
13900,1.4203218847620096,0.08717919223426324,500
14000,2.20205550296511,0.12058924442370364,500
14100,3.167994406595545,0.15734108785349019,500
14200,4.304381931642671,0.1971042257993745,500
14300,5.597859271237648,0.23956498524041242,500
14400,7.035345210939863,0.2845020039715243,500
14500,8.604841470456527,0.3316756753177822,500
14600,10.295142579099297,0.38087357903574276,500
14700,12.09565307576704,0.4319325518150587,500
14800,13.996904384122518,0.4846483499365858,500
14900,15.989744994543205,0.5388937403660569,500
15000,18.066059543277184,0.5944960737643739,500
15100,20.21792133110033,0.6513620301638267,500
15200,22.43876532600397,0.7092847893811581,500
15300,24.721328351112067,0.768260833459568,500
15400,27.06026358463745,0.8280712780952829,500
15500,29.449429982863947,0.8887022287546135,500
15600,31.88416206865909,0.9499814051332354,500
15700,34.35889601039112,1.0119464231472182,500
15800,36.87027050492005,1.0743514258288458,500
15900,39.41319765171991,1.137281048956012,500
16000,41.9847096524983,1.200540358308133,500
16100,44.580498659348024,1.2641956517449298,500
16200,47.19825839574945,1.3280445611365814,500
16300,49.83395535546738,1.392199735245196,500
16400,52.48603089299382,1.4564239957390328,500
16500,55.15067517537563,1.5208715380891844,500
16600,57.82680362256706,1.585301624313702,500
16700,60.51089249934211,1.6498892268866587,500
16800,63.20218428076471,1.7144030729979314,500
16900,65.89794132891076,1.778950816776423,500
17000,68.59706612061335,1.8434070116079442,500
17100,71.29777497887345,1.9077775391360743,500
17200,73.99858335831294,1.9720427541451158,500
17300,76.6978907288086,2.0362212573977314,500
17400,79.39495543654094,2.1002149292300256,500
17500,82.0882828778818,2.1640613543893386,500
17600,84.7773162135844,2.227666351933945,500
17700,87.4603304646492,2.291134386093363,500
17800,90.13669625818616,2.354411052791324,500
17900,92.80645158157446,2.4173495069331326,500
18000,95.46764352120616,2.4801280762696654,500
18100,98.12061407051064,2.5425746005832077,500
18200,100.76412354117593,2.6047760029525033,500
18300,103.39778175280844,2.666694760171254,500
18400,106.02058576839977,2.728398451159614,500
18500,108.63318782440079,2.7897020416346923,500
18600,111.233926025228,2.85079225391725,500
18700,113.82330549581617,2.9115214756708596,500
18800,116.40013288488448,2.9720158666631784,500
18900,118.96526786580114,3.0320842296707124,500
19000,121.51677259533628,3.09198127436932,500
19100,124.05661233572685,3.151352232495534,500
19200,126.58212987581202,3.2105747954375286,500
19300,129.09570656582036,3.2692376897641386,500
19400,131.5940977867057,3.3278194244321972,500
19500,134.08045043295334,3.385795916741833,500
19600,136.55111685385955,3.4437162734219973,500
19700,139.00910099609044,3.5010855338378013,500
19800,141.4521208599899,3.558243912059097,500
19900,143.88159519713224,3.614951690301271,500
20000,146.29555494829867,3.6715050504697224,500
20100,148.69700045706023,3.727420114875041,500
20200,151.08198501344904,3.7833089083102736,500
20300,153.45516406997933,3.8384311193811764,500
20400,155.81119808592936,3.893621885325527,500
20500,158.15461374894244,3.948164708530135,500
20600,160.48204212222683,4.0025877416122855,500
20700,162.79620584227948,4.056461535663919,500
20800,165.09459306254044,4.110182086011157,500
20900,167.37981776998063,4.163339621416924,500
21000,169.64839701341708,4.216485392823826,500
21100,171.90479124170793,4.26892111293247,500
21200,174.14499397924848,4.321282464423725,500
21300,176.3721795462471,4.373075498024784,500
21400,178.5833547799711,4.4247780650454605,500
21500,180.7819211901302,4.475862016449638,500
21600,182.96418272178786,4.526917299076108,500
21700,185.13453715318695,4.577260240990964,500
21800,187.2882225061292,4.627649807568687,500
21900,189.42999238753694,4.677347418337073,500
22000,191.5552107271772,4.72709322787679,500
22100,193.66821073922299,4.776215768037428,500
22200,195.76584835438467,4.8252211449166165,500
22300,197.85071742953605,4.873712493183279,500
22400,199.92078699176494,4.922021380449417,500
22500,201.97829756153007,4.969807203220567,500
22600,204.02025583768432,5.017553600345528,500
22700,206.05062199016834,5.064649763464245,500
22800,208.06526589884393,5.111758766033456,500
22900,210.0684759279766,5.158218552192457,500
23000,212.0559493909611,5.204719732847189,500
23100,214.0317006779171,5.250643721131164,500
23200,215.99300647262638,5.2964327794463,500
23300,217.94190997339143,5.341778903694832,500
23400,219.87712089891178,5.386898981873022,500
23500,221.800255192441,5.431552468936354,500
23600,223.70896430901763,5.476123018748887,500
23700,225.6057111376941,5.5202368952743734,500
23800,227.4888599103196,5.564165660011082,500
23900,229.36047196553787,5.607598887338687,500
24000,231.21777061930123,5.65098782052773,500
24100,233.06274140080836,5.69403402615092,500
24200,234.89592876537847,5.736665950478416,500
24300,236.7161599079621,5.7790823846156565,500
24400,238.5243194565854,5.821158228044064,500
24500,240.3204704043078,5.862897720582299,500
24600,242.10371573156925,5.904456214899356,500
24700,243.8747514449509,5.945738264263497,500
24800,245.6342528137362,5.986651663446081,500
24900,247.3815043024734,6.027323123225115,500
25000,249.11648639270726,6.067769749443432,500
25100,250.83973597074964,6.1079210205823316,500
25200,252.55132762332295,6.147779149900117,500
25300,254.25053180550677,6.187472893320565,500
25400,255.9394922775512,6.226678636712283,500
25500,257.61567871882244,6.265808518265367,500
25600,259.2819896102623,6.304420011719404,500
25700,260.935079609448,6.343053443252007,500
25800,262.5788317408113,6.381111185023243,500
25900,264.2092517943453,6.419235589345189,500
26000,265.8296808647099,6.4569142163991495,500
26100,267.43847839472267,6.494418777169668,500
26200,269.03657107871857,6.531616780585303,500
26300,270.62240981625223,6.568765406882285,500
26400,272.1998049517045,6.605278084962779,500
26500,273.76339378588585,6.642012191204666,500
26600,275.3204944942778,6.677828820404456,500
26700,276.86316174051103,6.713991757828925,500
26800,278.3974343761844,6.749563346382643,500
26900,279.9197949398321,6.785110196628089,500
27000,281.4330179897494,6.820208367589248,500
27100,282.9344813656311,6.855283381771053,500
27200,284.4274957776609,6.88982675273461,500
27300,285.9066249704083,6.924706840579821,500
27400,287.3796589478911,6.958709892223388,500
27500,288.84022717748053,6.99285118775246,500
27600,290.2922676103753,7.026523203297047,500
27700,291.73243678540933,7.060264554574216,500
27800,293.16512951340314,7.093395650334581,500
27900,294.58465003167987,7.12682524109431,500
28000,295.99955525340454,7.1592184122196505,500
28100,297.39992345442977,7.192148986564218,500
28200,298.79411016111646,7.224313601336183,500
28300,300.1754010653275,7.25678103275684,500
28400,301.5497213698237,7.2886303373559755,500
28500,302.91274056567056,7.320554893180964,500
28600,304.268468409972,7.351935125506833,500
28700,305.6118693974618,7.383575239552885,500
28800,306.95022179980253,7.414341003635273,500
28900,308.27510153804377,7.44556987428053,500
29000,309.5953926594746,7.475874706675626,500
29100,310.90270194526704,7.506587948372787,500
29200,312.20444633332016,7.536553250059292,500
29300,313.4931311402315,7.566961466080103,500
29400,314.7765519589873,7.596596503145487,500
29500,316.04854611919905,7.626439389524463,500
29600,317.3142400381891,7.65569404613308,500
29700,318.56859388426824,7.685164610066462,500
29800,319.81753593502776,7.713928637783104,500
29900,321.05425686554827,7.743068657326452,500
30000,322.28598161711653,7.771457975103757,500
30100,323.5065852571625,7.8000712479011325,500
30200,324.7218204116472,7.828013399052493,500
30300,325.92466388835635,7.856400333902381,500
30400,327.1223632264047,7.8841015281405324,500
30500,328.3098411432934,7.911926440618779,500
30600,329.4911318304893,7.939250221252187,500
30700,330.6624949414873,7.966671741907719,500
30800,331.82790390527464,7.993575587001188,500
30900,332.9825039251822,8.020735912088533,500
31000,334.1318180069579,8.047293248400935,500
31100,335.27126952087076,8.073977833525044,500
31200,336.405422895765,8.100080956317328,500
31300,337.52841675438316,8.126534946067444,500
31400,338.64695199942105,8.152294663605497,500
31500,339.7546188376198,8.178378632095834,500
31600,340.85685622824576,8.20394022222827,500
31700,341.9505263365301,8.229482795313004,500
31800,343.03756084794617,8.25471166606185,500
31900,344.1163191086784,8.279894402031122,500
32000,345.1885788350346,8.304760424018626,500
32100,346.2527890390831,8.329563058044448,500
32200,347.31065232168834,8.354043427769573,500
32299,348.3593010169692,8.378661983952645,500
32400,349.4027015146656,8.402803392292666,500
32500,350.4371717990414,8.427056166330384,500
32600,351.4653722722916,8.451010421233065,500
32700,352.48666782270385,8.474774943328727,500
32800,353.5002714184096,8.49848237461702,500
32900,354.5084685348294,8.521781669098353,500
33000,355.50866092163136,8.54509044100029,500
33100,356.5018815031739,8.568254684001376,500
33200,357.48899121074675,8.591147404420271,500
33300,358.4686561986255,8.6139870210858,500
33400,359.44209760112693,8.636589723444722,500
33500,360.4089139222719,8.659027059294319,500
33600,361.3672187965767,8.681604240624294,500
33700,362.32091512927855,8.703715167563274,500
33800,363.268101650448,8.725667286390616,500
33900,364.20767584725,8.747642258583658,500
34000,365.1411250431453,8.769414041460664,500
34100,366.0686344770193,8.790961487707587,500
34200,366.98799903593425,8.81263964426039,500
34300,367.90442937507026,8.833636246230876,500
34400,368.8125277244434,8.854808760314517,500
34500,369.71521845269183,8.875704679545938,500
34600,370.60904073940634,8.896876487420084,500
34700,371.4999323954931,8.917397244418497,500
34800,372.3834891164281,8.937967835368388,500
34900,373.26099352046043,8.958393954985137,500
35000,374.1316973874202,8.978800908357966,500
35100,374.99800553085163,8.998817650813805,500
35200,375.85534642148866,9.019171176238249,500
35300,376.71245472321186,9.038494018867393,500
35400,377.55851293038154,9.0584961896264,500
35500,378.4016620826029,9.077903558655956,500
35600,379.23655285776493,9.097565341364966,500
35700,380.0673160238793,9.116838529721065,500
35800,380.8913141261157,9.136145388836063,500
35900,381.71119698849327,9.155075912239669,500
36000,382.52163191056485,9.174476505459454,500
36100,383.33233124145005,9.192825421887704,500
36200,384.13205589600295,9.21189863013041,500
36300,384.93163804261917,9.229998034750952,500
36400,385.72163299687776,9.248617070097865,500
36500,386.50922627273553,9.266631529307737,500
36600,387.2872893496442,9.285170185362519,500
36700,388.06421377916865,9.302918916611853,500
36800,388.83226125243385,9.321102381268716,500
36900,389.5980833719096,9.338680228691132,500
37000,390.3552120022486,9.356677104970732,500
37100,391.11120335622894,9.37391018692163,500
37200,391.8573139234688,9.39176216856886,500
37300,392.60333600890294,9.40869818054968,500
37400,393.34074223812695,9.426066812538759,500
37500,394.0764064871796,9.442792462283048,500
37600,394.80200018434755,9.460192333940473,500
37700,395.52747255474236,9.476706692100931,500
37800,396.24407852108027,9.493718210501868,500
37900,396.95918213977967,9.5100739673339,500
38000,397.66647765338195,9.526772604609844,500
38100,398.3716001618966,9.542933258673266,500
38200,399.0678590438734,9.559615058161299,500
38300,399.76417136308004,9.575420481290667,500
38400,400.45150523476815,9.591777086863528,500
38500,401.1391317477779,9.607231551994623,500
38600,401.81618372631505,9.623500216408916,500
38700,402.49439582937123,9.638741920025646,500
38800,403.16204110460234,9.654808249204379,500
38900,403.82954776508893,9.670063594176625,500
39000,404.48959765439207,9.685665529859667,500
39100,405.1475482964891,9.70077648194681,500
39200,405.79799077237925,9.716253439595281,500
39300,406.447688125177,9.731037521785229,500
39400,407.08924946998974,9.746297595631475,500
39500,407.73099478643127,9.76072965419981,500
39600,408.3630122848764,9.77589926173295,500
39700,408.99507518967624,9.790273602309284,500
39800,409.6191737170923,9.805118800012094,500
39900,410.2418737823417,9.81940678345831,500
40000,410.85808843595504,9.833943553736358,500
40100,411.47211438246944,9.848058132914286,500
40200,412.0796636268119,9.86243070030886,500
40300,412.6856576691406,9.876291862279475,500
40400,413.28486230953337,9.890470654016397,500
40500,413.88265379750413,9.904126037608593,500
40600,414.4735814484718,9.918121051202249,500
40700,415.0632503347196,9.931578567777292,500
40800,415.64637022525955,9.945336299349608,500
40900,416.22669734372073,9.958808055554757,500
41000,416.8021758505424,9.972322396843792,500
41100,417.37629605891453,9.985334917909725,500
41200,417.94266449124035,9.99885683513957,500
41300,418.5077169861434,10.011880062948102,500
41400,419.0673053972986,10.025062347819969,500
41500,419.62499111063516,10.03784796132401,500
41600,420.17689907377786,10.050851601774527,500
41700,420.7269034694839,10.063468240293254,500
41800,421.2717558000741,10.076213890971978,500
41900,421.81286006947374,10.088872257910426,500
42000,422.35014055899205,10.10145990903446,500
42100,422.8855219487261,10.113678534359744,500
42200,423.4144943681951,10.126242547815403,500
42300,423.94159401255996,10.138442540337099,500
42400,424.4643488546535,10.150672117979616,500
42500,424.9830213864685,10.16289445892455,500
42600,425.5009722883424,10.174585088094123,500
42700,426.01289979181433,10.186582892367163,500
42800,426.521658611543,10.19844296666854,500
42900,427.0272607209404,10.21016779928475,500
43000,427.52832601908466,10.221978952640725,500
43100,428.0275003005092,10.233464309419412,500
43200,428.5220059635695,10.245065326142166,500
43300,429.0115414341396,10.256833727337765,500
43400,429.50161970525085,10.267906033255743,500
43500,429.98510107197865,10.279410171849518,500
43600,430.46829369877423,10.29035745744546,500
43700,430.94645066924807,10.301499155885763,500
43800,431.42195835113085,10.312463781473188,500
43900,431.8923992601509,10.323635906822108,500
44000,432.3613187279894,10.33446158656281,500
44100,432.8265267292736,10.34528953255311,500
44200,433.2888750731778,10.355989676857702,500
44300,433.744839535177,10.367120674807174,500
44400,434.20311778862526,10.377317532095132,500
44500,434.6536219253654,10.38817191350987,500
44600,435.1054350150501,10.39825811248076,500
44700,435.55104617567116,10.4087621420081,500
44800,435.9956003975581,10.418878060378573,500
44900,436.43386764512195,10.429432837925637,500
45000,436.87278848349405,10.439337881001814,500
45100,437.3055993220008,10.449661473630893,500
45200,437.73783098715836,10.45953684389591,500
45300,438.16423338445304,10.469794018204988,500
45400,438.5911651649598,10.47943588387512,500
45500,439.0108798537123,10.48968532092551,500
45600,439.4327749815216,10.499066873900883,500
45700,439.8472588119387,10.509093803533519,500
45800,440.26422209457417,10.51821297930453,500
45900,440.67245699985847,10.528191959996168,500
46000,441.08372634234394,10.537182926945556,500
46100,441.4860601131992,10.547073350954355,500
46200,441.8900755363659,10.556195667075992,500
46300,442.28858008189405,10.565685369394402,500
46400,442.6864025230999,10.574785894709203,500
46500,443.07787786497613,10.584392271616203,500
46600,443.4720119130839,10.593090459169483,500
46700,443.85770588478147,10.602630664622879,500
46800,444.24814412072976,10.6109411495875,500
46900,444.62857977331777,10.620346235011276,500
47000,445.0115602500549,10.62887438410895,500
47100,445.3879062883533,10.637973598363324,500
47200,445.7653905518422,10.646423786178433,500
47300,446.13698296265744,10.655334641363517,500
47400,446.50863793135744,10.663772207948234,500
47500,446.8739304619632,10.672750903319875,500
47600,447.2419252439743,10.680847197808138,500
47700,447.6019937503353,10.689737053963634,500
47800,447.96634558184144,10.697501932666619,500
47900,448.3211168997955,10.70632694884413,500
48000,448.6788798162098,10.714236465376072,500
48100,449.02990874548243,10.72276424345011,500
48200,449.3822120721647,10.730652885964293,500
48300,449.7288304982075,10.739000721210628,500
48400,450.076486003638,10.746752779645442,500
48500,450.41706565914893,10.755188920333733,500
48600,450.76038967383175,10.762766502298424,500
48700,451.09735574769974,10.770921060468876,500
48800,451.43556115749095,10.778459779742633,500
48900,451.76764339049174,10.786544332885713,500
49000,452.1015259484966,10.793930517502313,500
49100,452.42884732371203,10.801937194889941,500
49200,452.7577700730257,10.80928250832594,500
49300,453.08132520543114,10.817066106010937,500
49400,453.4067334614591,10.824154322767098,500
49500,453.7240644589806,10.832112862538269,500
49600,454.0441730236771,10.839236055408739,500
49700,454.3587750924416,10.846830456051366,500
49800,454.6743822357406,10.853873934959536,500
49900,454.9844784461451,10.861394740356918,500
50000,455.29597384786746,10.868307975704676,500
50100,455.6019294878248,10.875708414764306,500
50200,455.9088808668319,10.882570095363231,500
50300,456.2104190825557,10.889904322648954,500
50400,456.5139744972835,10.89654425850637,500
50500,456.8107113927015,10.903883128152907,500
50600,457.1089138309188,10.910619694422003,500
50700,457.4027521046548,10.917674035916642,500
50800,457.6961000061375,10.924438999312388,500
50900,457.98748627874016,10.931148671648044,500
51000,458.2773256320579,10.937740276415866,500
51100,458.5629828010972,10.944631059934915,500
51200,458.84960290345134,10.95101371345295,500
51300,459.13095273098105,10.9578717184972,500
51400,459.4139635884273,10.964116607106417,500
51500,459.6914119202652,10.970887692012722,500
51600,459.9692274484288,10.977254118645476,500
51700,460.24384939489846,10.983778686363886,500
51800,460.5171415980279,10.990170419259053,500
51900,460.78998283075583,10.996293366012225,500
52000,461.05979283259285,11.002555958086305,500
52100,461.32701013339835,11.008891498824543,500
52200,461.5938672015015,11.014950928895972,500
52300,461.8568137487509,11.021295308273443,500
52400,462.12038511915745,11.027213102808597,500
52500,462.3799929764149,11.033428711441415,500
52600,462.63723130131143,11.039693509386026,500
52700,462.89558095284434,11.045461879750107,500
52800,463.1498839290422,11.051547829828362,500
52900,463.4044849116609,11.05726976426239,500
53000,463.6566229758004,11.063064394660326,500
53100,463.9067078509321,11.068869400291149,500
53200,464.15425648477003,11.074762954510616,500
53300,464.4009645906311,11.080480319175365,500
53400,464.6463529562103,11.086099028671848,500
53500,464.88938147561976,11.091784889581648,500
53600,465.12845682516746,11.097790761431959,500
53700,465.37047082776195,11.103034046744447,500
53800,465.60709444531653,11.108827680017768,500
53900,465.84558093631784,11.11403214949551,500
54000,466.08026534032314,11.119541077512674,500
54100,466.3144213916771,11.124841243509772,500
54200,466.54462144015645,11.130474116483933,500
54300,466.7761990476146,11.135602268499584,500
54400,467.00377643820207,11.141074061774887,500
54500,467.2313454750705,11.14626319688279,500
54600,467.4553698237869,11.151728198904253,500
54700,467.680367898986,11.156759870928017,500
54800,467.9003875887581,11.162296916815343,500
54900,468.1233064276949,11.167101435096694,500
55000,468.340799123071,11.17248561245569,500
55100,468.56149388376963,11.177093377936252,500
55200,468.77546770148973,11.182488339227772,500
55300,468.9932476470951,11.187015551520656,500
55400,469.2039889603894,11.1923836698987,500
55500,469.417056878857,11.197120575451121,500
55600,469.62651563609006,11.202162293939042,500
55700,469.8362042219345,11.206906439063252,500
55800,470.0408187087698,11.21218956374873,500
55900,470.2495114591411,11.216573005136139,500
56000,470.4518866924646,11.221694681528485,500
56100,470.65863253814797,11.225874201356834,500
56200,470.8576205347381,11.231022149620125,500
56300,471.0615412140365,11.235142962725284,500
56400,471.25752306081995,11.240264151554928,500
56500,471.4569478327856,11.24459610704425,500
56600,471.6519774554818,11.249374127063954,500
56700,471.8479843835511,11.253754358340085,500
56800,472.03876153776645,11.258715382616126,500
56900,472.2338890824324,11.262751083945474,500
57000,472.4215938813527,11.26771603756388,500
57100,472.6158389912762,11.271414311323259,500
57200,472.8009841896807,11.276309070539456,500
57300,472.9903770665356,11.28030122570831,500
57400,473.17437114198316,11.284910600717911,500
57500,473.3606956629901,11.288922327201611,500
57600,473.5424112643593,11.293430139957234,500
57700,473.72655228932825,11.29732851907113,500
57800,473.903655754085,11.302108361050376,500
57900,474.08589751033406,11.305854924274755,500
58000,474.26238973027813,11.310283334109913,500
58100,474.4424164341413,11.31393396154246,500
58200,474.61493435490974,11.318546368780313,500
58300,474.7919255875599,11.32223627068301,500
58400,474.9633254167193,11.32658920245639,500
58500,475.13738438076297,11.330308150496347,500
58600,475.30676055111985,11.33455009883058,500
58700,475.47863969467886,11.338185591551222,500
58800,475.6443569583404,11.342579805915099,500
58900,475.8143171602547,11.346096632731234,500
59000,475.97888065781206,11.350254646566261,500
59100,476.1460699263066,11.353792663761475,500
59200,476.30811038607175,11.357935708713342,500
59300,476.47332502729785,11.361375277648818,500
59400,476.6328975565236,11.365500322954778,500
